;0LX;0RX;0LY;0RY
148;92.0;104.0;76.71541595458984;76.71541595458984
149;87.0;116.0;76.71541595458984;76.71541595458984
150;102.0;112.0;76.71541595458984;76.71541595458984
151;75.0;119.0;76.71541595458984;76.71541595458984
152;93.0;130.0;76.71541595458984;76.71541595458984
153;94.0;136.0;76.71541595458984;76.71541595458984
154;105.0;122.0;76.71541595458984;76.71541595458984
155;64.0;126.0;76.71541595458984;76.71541595458984
156;89.0;116.0;76.71541595458984;76.71541595458984
157;92.0;109.0;76.71541595458984;76.71541595458984
158;83.0;112.0;76.71541595458984;76.71541595458984
159;84.0;112.0;76.71541595458984;76.71541595458984
160;86.0;115.0;76.71541595458984;76.71541595458984
161;79.0;106.0;76.71541595458984;76.71541595458984
162;88.0;112.0;76.71541595458984;76.71541595458984
163;103.0;99.0;76.71541595458984;76.71541595458984
164;87.0;116.0;76.71541595458984;76.71541595458984
165;103.0;112.0;76.71541595458984;76.71541595458984
166;100.0;137.0;76.71541595458984;76.71541595458984
167;75.0;115.0;76.71541595458984;76.71541595458984
168;87.0;134.0;76.71541595458984;76.71541595458984
169;103.0;105.0;76.71541595458984;76.71541595458984
170;75.0;96.0;76.71541595458984;76.71541595458984
171;95.0;128.0;76.71541595458984;76.71541595458984
172;93.0;115.0;76.71541595458984;76.71541595458984
173;90.0;125.0;76.71541595458984;76.71541595458984
174;93.0;116.0;76.71541595458984;76.71541595458984
175;110.0;116.0;76.71541595458984;76.71541595458984
176;97.0;116.0;76.71541595458984;76.71541595458984
177;76.0;119.0;76.71541595458984;76.71541595458984
178;100.0;117.0;76.71541595458984;76.71541595458984
179;83.0;98.0;76.71541595458984;76.71541595458984
180;93.0;116.0;76.71541595458984;76.71541595458984
181;89.0;123.0;76.71541595458984;76.71541595458984
182;95.0;125.0;76.71541595458984;76.71541595458984
183;91.0;100.0;76.71541595458984;76.71541595458984
184;99.0;104.0;76.71541595458984;76.71541595458984
185;86.0;123.0;76.71541595458984;76.71541595458984
186;75.0;113.0;76.71541595458984;76.71541595458984
187;89.0;116.0;76.71541595458984;76.71541595458984
188;93.0;119.0;76.71541595458984;76.71541595458984
189;100.0;121.0;76.71541595458984;76.71541595458984
190;81.0;114.0;76.71541595458984;76.71541595458984
191;84.0;119.0;76.71541595458984;76.71541595458984
192;109.0;131.0;76.71541595458984;76.71541595458984
193;103.0;104.0;76.71541595458984;76.71541595458984
194;97.0;108.0;76.71541595458984;76.71541595458984
195;90.0;115.0;76.71541595458984;76.71541595458984
196;100.0;110.0;76.71541595458984;76.71541595458984
197;87.0;110.0;76.71541595458984;76.71541595458984
198;76.0;104.0;76.71541595458984;76.71541595458984
199;101.0;111.0;76.71541595458984;76.71541595458984
200;93.0;110.0;76.71541595458984;76.71541595458984
201;78.0;109.0;76.71541595458984;76.71541595458984
202;79.0;114.0;76.71541595458984;76.71541595458984
203;92.0;102.0;76.71541595458984;76.71541595458984
204;86.0;125.0;76.71541595458984;76.71541595458984
205;88.0;110.0;76.71541595458984;76.71541595458984
206;93.0;114.0;76.71541595458984;76.71541595458984
207;96.0;123.0;76.71541595458984;76.71541595458984
208;90.0;120.0;76.71541595458984;76.71541595458984
209;80.0;106.0;76.71541595458984;76.71541595458984
210;106.0;110.0;76.71541595458984;76.71541595458984
211;83.0;112.0;76.71541595458984;76.71541595458984
212;91.0;119.0;76.71541595458984;76.71541595458984
213;74.0;52.0;51.80970001220703;51.80970001220703
214;63.0;71.0;51.80970001220703;51.80970001220703
215;67.0;68.0;51.80970001220703;51.80970001220703
216;65.0;50.0;51.80970001220703;51.80970001220703
217;62.0;55.0;51.80970001220703;51.80970001220703
218;78.0;68.0;51.80970001220703;51.80970001220703
219;73.0;65.0;51.80970001220703;51.80970001220703
220;85.0;50.0;51.80970001220703;51.80970001220703
221;101.0;65.0;51.80970001220703;51.80970001220703
222;84.0;56.0;51.80970001220703;51.80970001220703
223;88.0;67.0;51.80970001220703;51.80970001220703
224;66.0;63.0;51.80970001220703;51.80970001220703
225;65.0;64.0;51.80970001220703;51.80970001220703
226;76.0;51.0;51.80970001220703;51.80970001220703
227;72.0;54.0;51.80970001220703;51.80970001220703
228;59.0;75.0;51.80970001220703;51.80970001220703
229;67.0;66.0;51.80970001220703;51.80970001220703
230;75.0;65.0;51.80970001220703;51.80970001220703
231;71.0;73.0;51.80970001220703;51.80970001220703
232;85.0;66.0;51.80970001220703;51.80970001220703
233;70.0;60.0;51.80970001220703;51.80970001220703
234;81.0;59.0;51.80970001220703;51.80970001220703
235;78.0;54.0;51.80970001220703;51.80970001220703
236;71.0;60.0;51.80970001220703;51.80970001220703
237;69.0;60.0;51.80970001220703;51.80970001220703
238;79.0;75.0;51.80970001220703;51.80970001220703
239;78.0;56.0;51.80970001220703;51.80970001220703
240;82.0;66.0;51.80970001220703;51.80970001220703
241;68.0;66.0;51.80970001220703;51.80970001220703
242;86.0;74.0;51.80970001220703;51.80970001220703
243;74.0;75.0;51.80970001220703;51.80970001220703
244;79.0;66.0;51.80970001220703;51.80970001220703
245;75.0;57.0;51.80970001220703;51.80970001220703
246;88.0;64.0;51.80970001220703;51.80970001220703
247;73.0;64.0;51.80970001220703;51.80970001220703
248;84.0;57.0;51.80970001220703;51.80970001220703
249;74.0;53.0;51.80970001220703;51.80970001220703
250;72.0;67.0;51.80970001220703;51.80970001220703
251;65.0;53.0;51.80970001220703;51.80970001220703
252;75.0;63.0;51.80970001220703;51.80970001220703
253;66.0;71.0;51.80970001220703;51.80970001220703
254;78.0;65.0;51.80970001220703;51.80970001220703
255;75.0;62.0;51.80970001220703;51.80970001220703
256;80.0;64.0;51.80970001220703;51.80970001220703
257;84.0;68.0;51.80970001220703;51.80970001220703
258;85.0;64.0;51.80970001220703;51.80970001220703
259;59.0;74.0;51.80970001220703;51.80970001220703
260;71.0;41.0;51.80970001220703;51.80970001220703
261;82.0;71.0;51.80970001220703;51.80970001220703
262;72.0;53.0;51.80970001220703;51.80970001220703
263;78.0;69.0;51.80970001220703;51.80970001220703
264;89.0;68.0;51.80970001220703;51.80970001220703
265;81.0;67.0;51.80970001220703;51.80970001220703
266;87.0;67.0;51.80970001220703;51.80970001220703
267;86.0;63.0;51.80970001220703;51.80970001220703
268;78.0;76.0;51.80970001220703;51.80970001220703
269;92.0;50.0;51.80970001220703;51.80970001220703
270;93.0;66.0;51.80970001220703;51.80970001220703
271;69.0;73.0;51.80970001220703;51.80970001220703
272;61.0;67.0;51.80970001220703;51.80970001220703
273;82.0;66.0;51.80970001220703;51.80970001220703
274;62.0;77.0;51.80970001220703;51.80970001220703
275;76.0;77.0;51.80970001220703;51.80970001220703
276;81.0;81.0;51.80970001220703;51.80970001220703
277;56.0;71.0;51.80970001220703;51.80970001220703
278;77.0;84.0;51.80970001220703;51.80970001220703
279;63.0;64.0;51.80970001220703;51.80970001220703
280;70.0;63.0;51.80970001220703;51.80970001220703
281;69.0;64.0;51.80970001220703;51.80970001220703
282;79.0;50.0;51.80970001220703;51.80970001220703
283;69.0;61.0;51.80970001220703;51.80970001220703
284;74.0;67.0;51.80970001220703;51.80970001220703
285;84.0;67.0;51.80970001220703;51.80970001220703
286;69.0;66.0;51.80970001220703;51.80970001220703
287;61.0;40.0;51.80970001220703;51.80970001220703
288;58.0;57.0;51.80970001220703;51.80970001220703
289;71.0;62.0;51.80970001220703;51.80970001220703
290;70.0;65.0;51.80970001220703;51.80970001220703
291;76.0;59.0;51.80970001220703;51.80970001220703
292;57.0;58.0;51.80970001220703;51.80970001220703
293;77.0;63.0;51.80970001220703;51.80970001220703
294;73.0;79.0;51.80970001220703;51.80970001220703
295;76.0;53.0;51.80970001220703;51.80970001220703
296;84.0;56.0;51.80970001220703;51.80970001220703
297;67.0;57.0;51.80970001220703;51.80970001220703
298;79.0;70.0;51.80970001220703;51.80970001220703
299;61.0;56.0;51.80970001220703;51.80970001220703
300;73.0;77.0;51.80970001220703;51.80970001220703
301;85.0;54.0;51.80970001220703;51.80970001220703
302;67.0;64.0;51.80970001220703;51.80970001220703
303;70.0;74.0;51.80970001220703;51.80970001220703
304;79.0;70.0;51.80970001220703;51.80970001220703
305;77.0;67.0;51.80970001220703;51.80970001220703
306;74.0;67.0;51.80970001220703;51.80970001220703
307;73.0;64.0;51.80970001220703;51.80970001220703
308;76.0;71.0;51.80970001220703;51.80970001220703
309;74.0;66.0;51.80970001220703;51.80970001220703
310;64.0;78.0;51.80970001220703;51.80970001220703
311;80.0;69.0;51.80970001220703;51.80970001220703
312;78.0;57.0;51.80970001220703;51.80970001220703
313;70.0;58.0;51.80970001220703;51.80970001220703
314;69.0;67.0;51.80970001220703;51.80970001220703
315;66.0;49.0;51.80970001220703;51.80970001220703
316;80.0;61.0;51.80970001220703;51.80970001220703
317;78.0;66.0;51.80970001220703;51.80970001220703
318;60.0;61.0;51.80970001220703;51.80970001220703
319;69.0;71.0;51.80970001220703;51.80970001220703
320;78.0;63.0;51.80970001220703;51.80970001220703
321;67.0;80.0;51.80970001220703;51.80970001220703
322;85.0;71.0;51.80970001220703;51.80970001220703
323;74.0;77.0;51.80970001220703;51.80970001220703
324;69.0;55.0;51.80970001220703;51.80970001220703
325;83.0;64.0;51.80970001220703;51.80970001220703
326;77.0;75.0;51.80970001220703;51.80970001220703
327;83.0;88.0;51.80970001220703;51.80970001220703
328;67.0;57.0;51.80970001220703;51.80970001220703
329;85.0;71.0;51.80970001220703;51.80970001220703
330;68.0;69.0;51.80970001220703;51.80970001220703
331;72.0;61.0;51.80970001220703;51.80970001220703
332;75.0;47.0;51.80970001220703;51.80970001220703
333;78.0;69.0;51.80970001220703;51.80970001220703
334;88.0;71.0;51.80970001220703;51.80970001220703
335;82.0;86.0;51.80970001220703;51.80970001220703
336;83.0;67.0;51.80970001220703;51.80970001220703
337;67.0;81.0;51.80970001220703;51.80970001220703
338;73.0;61.0;51.80970001220703;51.80970001220703
339;79.0;62.0;51.80970001220703;51.80970001220703
340;78.0;66.0;51.80970001220703;51.80970001220703
341;71.0;66.0;51.80970001220703;51.80970001220703
342;87.0;65.0;51.80970001220703;51.80970001220703
343;81.0;64.0;51.80970001220703;51.80970001220703
344;78.0;58.0;51.80970001220703;51.80970001220703
345;101.0;57.0;51.80970001220703;51.80970001220703
346;88.0;65.0;51.80970001220703;51.80970001220703
347;82.0;71.0;51.80970001220703;51.80970001220703
